Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON,Median
1880,-0.84,-0.42,-0.48,-0.67,-0.37,-0.49,-0.49,0.06,-0.52,-0.69,-0.52,-0.55,-0.5,***,***,-0.51,-0.31,-0.58,-0.505
1881,-0.8,-0.63,-0.37,-0.27,-0.04,-1.12,-0.53,-0.25,-0.36,-0.49,-0.58,-0.15,-0.47,-0.5,-0.66,-0.23,-0.63,-0.48,-0.43
1882,0.11,-0.12,-0.09,-0.59,-0.38,-1.03,-0.71,-0.12,-0.08,-0.32,-0.4,-0.68,-0.37,-0.32,-0.05,-0.35,-0.62,-0.27,-0.35
1883,-0.68,-0.95,-0.46,-0.31,-0.35,0.44,-0.01,-0.16,-0.45,-0.58,-0.7,-0.4,-0.38,-0.41,-0.77,-0.38,0.09,-0.58,-0.425
1884,-0.61,-0.35,-0.4,-0.94,-1.19,-0.82,-0.84,0.15,-0.37,-0.77,-0.82,-0.99,-0.66,-0.61,-0.45,-0.85,-0.5,-0.65,-0.795
1885,-0.92,-0.79,-0.91,-0.86,-0.49,-0.93,-0.61,-0.15,-0.15,-0.03,-0.38,0.02,-0.52,-0.6,-0.9,-0.75,-0.56,-0.19,-0.55
1886,-0.77,-0.83,-0.69,-0.63,-0.58,-0.85,-0.39,-0.74,-0.43,-0.87,-0.5,-0.75,-0.67,-0.6,-0.53,-0.63,-0.66,-0.6,-0.715
1887,-0.89,-1.3,-0.61,-0.86,-0.89,-0.69,-0.43,-0.28,-0.65,-0.58,-0.94,-0.68,-0.73,-0.74,-0.98,-0.79,-0.47,-0.72,-0.685
1888,-0.76,-0.85,-0.93,-0.34,-0.79,-0.59,-0.39,-0.38,-0.45,-0.3,-0.09,-0.21,-0.51,-0.55,-0.76,-0.69,-0.45,-0.28,-0.42
1889,-0.33,0.13,0.03,0.09,0.07,-0.34,-0.45,-0.64,-0.41,-0.24,-0.46,-0.48,-0.25,-0.23,-0.14,0.07,-0.47,-0.37,-0.335
1890,-0.63,-0.66,-0.65,-0.56,-0.95,-0.6,-0.63,-0.64,-0.38,-0.3,-0.8,-0.58,-0.62,-0.61,-0.59,-0.72,-0.63,-0.49,-0.63
1891,-0.99,-1.12,-0.56,-0.71,-0.52,-0.6,-0.77,-0.61,-0.56,-0.62,-0.61,-0.02,-0.64,-0.69,-0.9,-0.6,-0.66,-0.59,-0.61
1892,-0.67,-0.35,-0.63,-0.75,-0.69,-0.6,-0.42,-0.3,-0.51,-0.38,-0.66,-0.64,-0.55,-0.5,-0.35,-0.69,-0.44,-0.52,-0.615
1893,-1.47,-1.03,-0.62,-0.7,-0.77,-0.72,-0.18,-0.39,-0.31,-0.14,-0.17,-0.42,-0.58,-0.6,-1.05,-0.7,-0.43,-0.21,-0.52
1894,-0.9,-0.67,-0.44,-0.69,-0.7,-0.52,-0.42,-0.36,-0.46,-0.13,-0.19,-0.21,-0.48,-0.49,-0.66,-0.61,-0.43,-0.26,-0.45
1895,-0.73,-0.82,-0.54,-0.5,-0.33,-0.32,-0.56,-0.22,-0.17,-0.13,-0.19,-0.11,-0.39,-0.39,-0.59,-0.46,-0.37,-0.16,-0.325
1896,-0.27,-0.32,-0.56,-0.5,-0.48,-0.5,-0.25,-0.42,-0.15,-0.07,-0.49,-0.26,-0.36,-0.34,-0.23,-0.52,-0.39,-0.24,-0.37
1897,-0.3,-0.54,-0.35,-0.14,-0.29,-0.21,-0.14,-0.35,-0.18,-0.26,-0.04,-0.27,-0.26,-0.26,-0.37,-0.26,-0.23,-0.16,-0.265
1898,-0.15,-0.47,-0.84,-0.6,-0.66,-0.34,-0.39,-0.27,-0.06,-0.44,-0.53,-0.24,-0.42,-0.42,-0.3,-0.7,-0.33,-0.34,-0.415
1899,-0.46,-0.65,-0.4,-0.29,-0.44,-0.57,-0.34,-0.32,-0.06,-0.31,-0.06,-0.25,-0.35,-0.34,-0.45,-0.38,-0.41,-0.14,-0.33
1900,-0.57,-0.08,-0.2,-0.19,-0.2,-0.15,-0.39,-0.2,-0.11,0.11,-0.15,-0.1,-0.19,-0.2,-0.3,-0.2,-0.25,-0.05,-0.17
1901,-0.25,-0.15,-0.14,-0.11,-0.23,-0.01,-0.28,-0.25,-0.01,-0.22,-0.16,-0.26,-0.17,-0.16,-0.17,-0.16,-0.18,-0.13,-0.19
